sbn,category,band,score,hardest_rule,solved_via,steps,n_solutions
551W4GU9MCa,plain,Easy,15.5,row_col_last,logic,9,1
551W1H4H4gg,plain,Hard,540.0,finned_counts,logic,12,1
551W1dgI1TY,plain,Medium,40.0,region_confined,logic,8,1
551W3aqYluW,plain,Medium,150.0,undercounting,logic,15,1
551WAq25pzO,plain,Medium,100.0,exclusion,logic,11,1
551W17a9aD8,plain,Easy,15.5,row_col_last,logic,6,1
551W2EIv39e,plain,Medium,100.0,exclusion,logic,10,1
551W5N28ag4,plain,Medium,40.0,region_confined,logic,10,1
551W0PcI8bL,plain,Medium,100.0,exclusion,logic,15,1
551W2IYXZyH,plain,Easy,15.5,row_col_last,logic,9,1
551W4o5Q64I,plain,Medium,40.0,region_confined,logic,12,1
551W1bqJ4HW,plain,Easy,15.5,row_col_last,logic,7,1
551W1jCneo4,plain,Medium,61.0,region_confined,logic,13,1
551W4HyfaKa,plain,Medium,40.0,region_confined,logic,11,1
551W399W3MJ,plain,Easy,15.5,row_col_last,logic,7,1
551W9eX54IY,plain,Medium,100.0,exclusion,logic,10,1
551W68aA8Cp,plain,Medium,100.0,exclusion,logic,11,1
551W8dSGBp2,plain,Medium,40.0,region_confined,logic,10,1
551W1bgINHH,plain,Medium,100.0,exclusion,logic,12,1
551W0SpE8o8,plain,Medium,61.0,region_confined,logic,10,1
551W4oa26Dt,plain,Medium,100.0,exclusion,logic,9,1
551W5H4H48g,plain,Hard,540.0,finned_counts,logic,12,1
551W2Ag55KH,plain,Hard,540.0,finned_counts,logic,12,1
551W0WNBLPK,plain,Medium,140.0,exclusion,logic,12,1
551W4QJ9cf1,plain,Medium,100.0,exclusion,logic,11,1
551W04qX5TR,plain,Medium,100.0,exclusion,logic,12,1
551W0f3ECwe,plain,Medium,100.0,exclusion,logic,11,1
551WADYAYH8,plain,Easy,15.5,row_col_last,logic,10,1
551WAHH0gn5,plain,Medium,40.0,region_confined,logic,13,1
551W8c_i198,plain,Medium,140.0,exclusion,logic,11,1
551WBSo0PKn,plain,Medium,140.0,exclusion,logic,15,1
551WBSO8uGJ,plain,Medium,100.0,exclusion,logic,13,1
551W2GH3kRf,plain,Medium,100.0,exclusion,logic,13,1
551W2lN62UG,plain,Easy,15.5,row_col_last,logic,7,1
551W2Hc1cqH,plain,Medium,40.0,region_confined,logic,10,1
551W4Hs8Y5a,plain,Easy,15.5,row_col_last,logic,9,1
551W4Up4aIK,plain,Medium,100.0,exclusion,logic,13,1
551WAeCn29c,plain,Medium,220.0,exclusion,logic,11,1
551W2H8gBNC,plain,Medium,100.0,exclusion,logic,10,1
551W5GfWYOf,plain,Medium,100.0,exclusion,logic,13,1
551W1GQIfLg,plain,Easy,15.5,row_col_last,logic,10,1
551W07CpCp4,plain,Medium,100.0,exclusion,logic,14,1
551W0Yio6P4,plain,Medium,40.0,region_confined,logic,11,1
551W2KZY9rQ,plain,Hard,500.0,finned_counts,logic,14,1
551W8HROhP1,plain,Medium,150.0,undercounting,logic,11,1
551W6KYI8NY,plain,Medium,100.0,exclusion,logic,11,1
551W6PBCIO2,plain,Medium,100.0,exclusion,logic,10,1
551W0HkKmwO,plain,Easy,15.5,row_col_last,logic,6,1
551WAZC8Dr4,plain,Medium,100.0,exclusion,logic,12,1
551W28dQ8eX,plain,Medium,100.0,exclusion,logic,10,1
551W18aH4Rc,plain,Medium,100.0,exclusion,logic,11,1
551W8H6HC4p,plain,Medium,100.0,exclusion,logic,12,1
551WDKr8gKX,plain,Medium,100.0,exclusion,logic,9,1
551W8nU1fci,plain,Medium,61.0,region_confined,logic,14,1
551W4V4H2XC,plain,Easy,15.5,row_col_last,logic,9,1
551W2gZM2CI,plain,Medium,100.0,exclusion,logic,12,1
551WCofKHHa,plain,Medium,100.0,exclusion,logic,14,1
551W05t5LKO,plain,Medium,166.0,region_confined,logic,13,1
551WAk-KGAI,plain,Hard,500.0,finned_counts,logic,15,1
551W4fq2LfY,plain,Medium,145.0,region_confined,logic,8,1
551W4GX54Hc,plain,Medium,40.0,region_confined,logic,11,1
551W4nO0UH6,plain,Easy,15.5,row_col_last,logic,8,1
551W6QgX1KY,plain,Medium,100.0,exclusion,logic,12,1
551W8MD8S_f,plain,Hard,500.0,finned_counts,logic,15,1
551W4pPg3LG,plain,Medium,61.0,region_confined,logic,12,1
551W0pLHALI,plain,Medium,180.0,exclusion,logic,12,1
551W1LcI8Kc,plain,Medium,100.0,exclusion,logic,11,1
551W4WHH8cU,plain,Medium,40.0,region_confined,logic,11,1
551W2gLKAbI,plain,Medium,100.0,exclusion,logic,12,1
551W8IfaCHc,plain,Medium,40.0,region_confined,logic,11,1
551W8Z28rT4,plain,Medium,100.0,exclusion,logic,10,1
551W56eZA94,plain,Medium,40.0,region_confined,logic,12,1
551WCoYeb54,plain,Medium,61.0,region_confined,logic,12,1
551W8IPuDHK,plain,Medium,100.0,exclusion,logic,11,1
551W0oik8TK,plain,Medium,145.0,region_confined,logic,11,1
551W1F2BAv4,plain,Medium,100.0,exclusion,logic,13,1
551W4nG5gH3,plain,Medium,140.0,exclusion,logic,10,1
551W49bGYqn,plain,Medium,61.0,region_confined,logic,8,1
551W0J54rcQ,plain,Medium,82.0,region_confined,logic,12,1
551W4JtOa1K,plain,Medium,100.0,exclusion,logic,13,1
551W4J68c4Y,plain,Easy,15.5,row_col_last,logic,9,1
551W4oo0vLY,plain,Medium,145.0,region_confined,logic,10,1
551W4ZQWhLa,plain,Medium,100.0,exclusion,logic,11,1
551W897G8-f,plain,Easy,15.5,row_col_last,logic,9,1
551W5Pi9qE0,plain,Easy,15.5,row_col_last,logic,9,1
551W16356Pq,plain,Easy,15.5,row_col_last,logic,7,1
551W9rvaE1W,plain,Easy,15.5,row_col_last,logic,4,1
551W1KH94pI,plain,Medium,82.0,region_confined,logic,11,1
551W4Ay5Xf3,plain,Easy,15.5,row_col_last,logic,6,1
551W6TpGY4P,plain,Medium,100.0,exclusion,logic,13,1
551W3H9WYef,plain,Medium,100.0,exclusion,logic,12,1
551W4Hlu2GI,plain,Medium,100.0,exclusion,logic,9,1
551W2Aa92Cp,plain,Medium,61.0,region_confined,logic,12,1
551W1ddMa52,plain,Medium,100.0,exclusion,logic,14,1
551W0hCMII9,plain,Easy,15.5,row_col_last,logic,10,1
551W5vk2bAH,plain,Hard,500.0,finned_counts,logic,18,1
551W4XrCTKa,plain,Hard,540.0,finned_counts,logic,14,1
551W682BkOY,plain,Medium,100.0,exclusion,logic,12,1
551W0HDnagf,plain,Medium,100.0,exclusion,logic,12,1
551W0XQY6Pp,plain,Medium,100.0,exclusion,logic,13,1
551W4BC11tT,plain,Medium,100.0,exclusion,logic,11,1
551W1CYfKI4,plain,Medium,100.0,exclusion,logic,13,1
551W0fMTCZf,plain,Easy,15.5,row_col_last,logic,10,1
551W5LQCZ4m,plain,Medium,100.0,exclusion,logic,11,1
551W4GYb5L5,plain,Easy,15.5,row_col_last,logic,10,1
551W4kiI5w4,plain,Medium,180.0,exclusion,logic,17,1
551W8o9OfHM,plain,Medium,61.0,region_confined,logic,11,1
551W0jIACvA,plain,Medium,100.0,exclusion,logic,11,1
551W60M8Yac,plain,Easy,15.5,row_col_last,logic,6,1
551W29M8HPa,plain,Medium,100.0,exclusion,logic,10,1
551W9XKX9xa,plain,Medium,61.0,region_confined,logic,10,1
551WAfKHYOa,plain,Medium,150.0,undercounting,logic,9,1
551W4Hc0pKH,plain,Medium,40.0,region_confined,logic,11,1
551W4W8bjLK,plain,Medium,100.0,exclusion,logic,11,1
551W24LCp68,plain,Medium,61.0,region_confined,logic,13,1
551W2gMMWDX,plain,Easy,15.5,row_col_last,logic,7,1
551W8YSK5To,plain,Medium,100.0,exclusion,logic,13,1
551WAeOHZ9a,plain,Medium,150.0,undercounting,logic,13,1
551W2RbKrWW,plain,Medium,100.0,exclusion,logic,9,1
551W6gYA2f4,plain,Easy,15.5,row_col_last,logic,7,1
551W4P2m1yY,plain,Easy,15.5,row_col_last,logic,7,1
551W9xc4AMG,plain,Medium,100.0,exclusion,logic,9,1
551W4OYeGIg,plain,Medium,100.0,exclusion,logic,13,1
551W8A1BEuo,plain,Easy,15.5,row_col_last,logic,10,1
551W29gmYKH,plain,Medium,61.0,region_confined,logic,11,1
551W3LP0IvX,plain,Medium,166.0,region_confined,logic,10,1
551W29X4YOY,plain,Medium,40.0,region_confined,logic,8,1
551W2ciAPl0,plain,Medium,150.0,undercounting,logic,12,1
551W2J18cvq,plain,Medium,145.0,region_confined,logic,11,1
551W0IuZBTJ,plain,Medium,150.0,undercounting,logic,11,1
551W8GX5CHc,plain,Medium,40.0,region_confined,logic,11,1
551WCAacbyG,plain,Easy,15.5,row_col_last,logic,10,1
551W6J64reG,plain,Medium,40.0,region_confined,logic,12,1
551W9axf29G,plain,Hard,580.0,finned_counts,logic,12,1
551W22X7Afc,plain,Medium,40.0,region_confined,logic,11,1
551W4GhDM96,plain,Medium,100.0,exclusion,logic,13,1
551W2MSe6aR,plain,Medium,40.0,region_confined,logic,12,1
551W8ZkO554,plain,Easy,15.5,row_col_last,logic,9,1
551W8p6GA8p,plain,Medium,100.0,exclusion,logic,11,1
551WAfaG4P4,plain,Easy,15.5,row_col_last,logic,9,1
551W4E895sL,plain,Hard,540.0,finned_counts,logic,14,1
551W8EY5AfP,plain,Easy,15.5,row_col_last,logic,10,1
551W1269J4g,plain,Medium,61.0,region_confined,logic,12,1
551W0HZ94hj,plain,Medium,140.0,exclusion,logic,12,1
551W48N0HjL,plain,Easy,15.5,row_col_last,logic,9,1
551WAfae58p,plain,Medium,100.0,exclusion,logic,12,1
551W134HYHC,plain,Easy,15.5,row_col_last,logic,6,1
551W5GgeXK8,plain,Medium,40.0,region_confined,logic,9,1
551W0H62PTL,plain,Easy,15.5,row_col_last,logic,9,1
551WAf5b1OY,plain,Hard,500.0,finned_counts,logic,16,1
551W28OIfbJ,plain,Medium,100.0,exclusion,logic,14,1
551W5fYI4ig,plain,Easy,15.5,row_col_last,logic,10,1
551W1UGGasJ,plain,Medium,40.0,region_confined,logic,8,1
551W51LH4xX,plain,Hard,540.0,finned_counts,logic,14,1
551W4mp58HK,plain,Medium,100.0,exclusion,logic,13,1
551W4HgeIH4,plain,Hard,540.0,finned_counts,logic,11,1
551W22P55NQ,plain,Medium,100.0,exclusion,logic,12,1
551W39fba8e,plain,Easy,15.5,row_col_last,logic,10,1
551WA4XIYFn,plain,Medium,140.0,exclusion,logic,15,1
551W8X20cPt,plain,Medium,100.0,exclusion,logic,13,1
551W8Wyn6P2,plain,Medium,40.0,region_confined,logic,9,1
551W0BcQimY,plain,Medium,150.0,undercounting,logic,13,1
551WDlK0nuY,plain,Medium,200.0,undercounting,logic,13,1
551W1GgcgOO,plain,Medium,140.0,exclusion,logic,13,1
551W41kQfH4,plain,Medium,150.0,undercounting,logic,12,1
551W8hgOZI8,plain,Medium,61.0,region_confined,logic,10,1
551W0NA2j_8,plain,Medium,40.0,region_confined,logic,8,1
551W13bHaGf,plain,Easy,15.5,row_col_last,logic,6,1
551W5M9gC0M,plain,Medium,40.0,region_confined,logic,11,1
551W8UgWTb8,plain,Easy,15.5,row_col_last,logic,10,1
551WAqHH4aP,plain,Medium,100.0,exclusion,logic,11,1
551W2P7dDKW,plain,Medium,100.0,exclusion,logic,13,1
551W4MQ9KYY,plain,Hard,580.0,finned_counts,logic,14,1
551W3B95KQW,plain,Medium,40.0,region_confined,logic,10,1
551W026JAkg,plain,Easy,15.5,row_col_last,logic,9,1
551W4h4Ggo8,plain,Medium,61.0,region_confined,logic,10,1
551W1NSHIY2,plain,Medium,100.0,exclusion,logic,14,1
551W8oiGQP4,plain,Medium,82.0,region_confined,logic,11,1
551W4HM94T2,plain,Easy,15.5,row_col_last,logic,9,1
551W26Y96RH,plain,Medium,100.0,exclusion,logic,11,1
551W04AcAg-,plain,Easy,15.5,row_col_last,logic,11,1
551W0oXIgTq,plain,Medium,100.0,exclusion,logic,9,1
551W2DPKZI2,plain,Medium,150.0,undercounting,logic,12,1
551W2h9cAuW,plain,Medium,100.0,exclusion,logic,10,1
551W9rC4MtG,plain,Medium,100.0,exclusion,logic,14,1
551W494n5n4,plain,Easy,15.5,row_col_last,logic,9,1
551W294XLH4,plain,Easy,15.5,row_col_last,logic,10,1
551W4YSIDPa,plain,Medium,180.0,exclusion,logic,15,1
551W6PfW29b,plain,Medium,150.0,undercounting,logic,15,1
551W6bNaDAI,plain,Medium,150.0,undercounting,logic,12,1
551W2aH7YAa,plain,Medium,40.0,region_confined,logic,12,1
551W1H594ko,plain,Medium,100.0,exclusion,logic,13,1
551WCeo90WN,plain,Easy,15.5,row_col_last,logic,10,1
551W1kfs9Wa,plain,Medium,40.0,region_confined,logic,11,1
551W9H5K8cI,plain,Medium,40.0,region_confined,logic,12,1
551W9Gr8PT9,plain,Easy,15.5,row_col_last,logic,10,1
551W2A20rMx,plain,Medium,100.0,exclusion,logic,13,1
551WAX5LCW2,plain,Medium,40.0,region_confined,logic,12,1
551WBLSmAeW,plain,Medium,40.0,region_confined,logic,11,1
551W4RTj4b0,plain,Medium,61.0,region_confined,logic,9,1
551W5bAmE_0,plain,Medium,100.0,exclusion,logic,12,1
551W7DcRC04,plain,Medium,100.0,exclusion,logic,11,1
551W23eZAuY,plain,Medium,40.0,region_confined,logic,8,1
551W8Y8OMTc,plain,Easy,15.5,row_col_last,logic,10,1
551WDof4KGe,plain,Easy,15.5,row_col_last,logic,10,1
551W4LL4HtG,plain,Medium,100.0,exclusion,logic,12,1
551W1PDMfI2,plain,Hard,540.0,finned_counts,logic,14,1
551W28y0n9Y,plain,Easy,15.5,row_col_last,logic,7,1
551W4KwOXKe,plain,Medium,100.0,exclusion,logic,11,1
551W4Qhq46Q,plain,Medium,40.0,region_confined,logic,12,1
551W2MX4cha,plain,Medium,200.0,undercounting,logic,15,1
551W4cJA2gf,plain,Medium,61.0,region_confined,logic,12,1
551W1J4H2gg,plain,Hard,540.0,finned_counts,logic,14,1
551W4IBL54Y,plain,Medium,100.0,exclusion,logic,12,1
551W4J4L28Z,plain,Easy,15.5,row_col_last,logic,10,1
551W0lS2LQY,plain,Medium,100.0,exclusion,logic,13,1
551WCGgg2P4,plain,Hard,540.0,finned_counts,logic,11,1
551WBCi4ff1,plain,Medium,40.0,region_confined,logic,10,1
551W8JRPBP1,plain,Medium,150.0,undercounting,logic,12,1
551W7CcAg44,plain,Medium,100.0,exclusion,logic,11,1
551W2n370gQ,plain,Medium,40.0,region_confined,logic,11,1
551W37OYieY,plain,Medium,100.0,exclusion,logic,11,1
551W0b2o5TC,plain,Easy,15.5,row_col_last,logic,6,1
551W9LnAg9G,plain,Easy,15.5,row_col_last,logic,10,1
551W2aHfhiu,plain,Hard,822.0,finned_fish,logic,14,1
551W2B11YPb,plain,Medium,100.0,exclusion,logic,10,1
551W4LKI88i,plain,Medium,40.0,region_confined,logic,10,1
551W44n94ow,plain,Medium,40.0,region_confined,logic,11,1
551W9CKJ4QY,plain,Easy,15.5,row_col_last,logic,10,1
551W0QYAkQ8,plain,Medium,100.0,exclusion,logic,9,1
551W45U0Itg,plain,Medium,100.0,exclusion,logic,14,1
551WDo686k0,plain,Easy,15.5,row_col_last,logic,10,1
551W0NFPXYb,plain,Easy,15.5,row_col_last,logic,11,1
551W6eHOCLK,plain,Easy,15.5,row_col_last,logic,10,1
551WAgq62Cq,plain,Hard,540.0,finned_counts,logic,15,1
551W4gqB2ia,plain,Easy,15.5,row_col_last,logic,9,1
551W4XKIcYE,plain,Medium,100.0,exclusion,logic,10,1
551W2114YRk,plain,Medium,40.0,region_confined,logic,11,1
551W2aZECne,plain,Medium,100.0,exclusion,logic,11,1
551WC2YHiL4,plain,Easy,15.5,row_col_last,logic,7,1
551W45I94gg,plain,Medium,40.0,region_confined,logic,12,1
551W4SPGXMQ,plain,Medium,140.0,exclusion,logic,12,1
551W6PL545H,plain,Hard,540.0,finned_counts,logic,12,1
551W9LoW9l2,plain,Medium,100.0,exclusion,logic,12,1
551W5c4cB4K,plain,Medium,150.0,undercounting,logic,15,1
551W25SXa6R,plain,Medium,40.0,region_confined,logic,12,1
551W8aKP4Te,plain,Medium,40.0,region_confined,logic,11,1
551W6es1PD2,plain,Medium,100.0,exclusion,logic,9,1
551W4IY2iGp,plain,Medium,100.0,exclusion,logic,12,1
551W4pBn8CI,plain,Medium,61.0,region_confined,logic,11,1
551W2Z5HieX,plain,Easy,15.5,row_col_last,logic,9,1
551WCb684tc,plain,Hard,580.0,finned_counts,logic,14,1
551W20c3_uH,plain,Medium,100.0,exclusion,logic,10,1
551W4Pga2nK,plain,Easy,15.5,row_col_last,logic,9,1
551W3CbKY8a,plain,Medium,100.0,exclusion,logic,11,1
551W5xX8egm,plain,Medium,40.0,region_confined,logic,10,1
551W0YXMrHa,plain,Medium,100.0,exclusion,logic,13,1
551W0HYAxKY,plain,Medium,61.0,region_confined,logic,8,1
551W48iYfeY,plain,Medium,40.0,region_confined,logic,11,1
551W58LQ8Bn,plain,Medium,100.0,exclusion,logic,12,1
551W40H1LtR,plain,Medium,100.0,exclusion,logic,12,1
551W2fY5CfK,plain,Medium,180.0,exclusion,logic,13,1
551W2Ivb4nW,plain,Medium,40.0,region_confined,logic,8,1
551W9695Qga,plain,Medium,61.0,region_confined,logic,11,1
551W3d4TAnG,plain,Medium,140.0,exclusion,logic,13,1
551W1AhGbIo,plain,Easy,15.5,row_col_last,logic,7,1
551W9nK1Lp2,plain,Medium,40.0,region_confined,logic,14,1
551W2A2H6Sp,plain,Medium,61.0,region_confined,logic,12,1
551W88PAfbK,plain,Medium,40.0,region_confined,logic,12,1
551W16vmaKq,plain,Medium,40.0,region_confined,logic,9,1
551W1LIYhLa,plain,Medium,180.0,exclusion,logic,17,1
551WA94IYOY,plain,Medium,40.0,region_confined,logic,11,1
551W8neWchC,plain,Medium,40.0,region_confined,logic,10,1
551W2AA0dTL,plain,Medium,150.0,undercounting,logic,13,1
551W1vc7PAG,plain,Easy,15.5,row_col_last,logic,11,1
551W29TXaKL,plain,Medium,200.0,undercounting,logic,16,1
551W29aXLGY,plain,Easy,15.5,row_col_last,logic,10,1
551W4B6IiuH,plain,Medium,180.0,exclusion,logic,12,1
551W4924YvL,plain,Hard,540.0,finned_counts,logic,11,1
551W4Dyn6Wg,plain,Medium,100.0,exclusion,logic,14,1
551W4lo0iQJ,plain,Easy,15.5,row_col_last,logic,9,1
551W4PRGJbX,plain,Medium,40.0,region_confined,logic,8,1
551WCpa92D4,plain,Medium,61.0,region_confined,logic,12,1
551W2iqI4Qe,plain,Medium,40.0,region_confined,logic,8,1
551W4GbaZHc,plain,Medium,40.0,region_confined,logic,11,1
551W48I94nc,plain,Easy,15.5,row_col_last,logic,10,1
551W89Y5Cgw,plain,Hard,540.0,finned_counts,logic,15,1
551W38HWZFo,plain,Medium,100.0,exclusion,logic,10,1
551W5OZA8IX,plain,Medium,40.0,region_confined,logic,10,1
551W2fR2NDK,plain,Medium,150.0,undercounting,logic,13,1
551W6MQIS6Y,plain,Medium,100.0,exclusion,logic,15,1
551W8ZMeZHY,plain,Medium,61.0,region_confined,logic,8,1
551W2D6KHQK,plain,Medium,40.0,region_confined,logic,10,1
551W0WMBY4c,plain,Easy,15.5,row_col_last,logic,7,1
551W2aJ7H6a,plain,Medium,100.0,exclusion,logic,12,1
551W29M4YSq,plain,Easy,15.5,row_col_last,logic,9,1
551W0gkfAaY,plain,Medium,140.0,exclusion,logic,11,1
551W0LQYhCe,plain,Medium,40.0,region_confined,logic,8,1
551W6cfqe7m,plain,Medium,100.0,exclusion,logic,12,1
551W4PbGHmX,plain,Medium,40.0,region_confined,logic,8,1
551W9bY8tL0,plain,Medium,140.0,exclusion,logic,14,1
551W076H6Lg,plain,Easy,15.5,row_col_last,logic,7,1
551W8YxOKKK,plain,Easy,15.5,row_col_last,logic,9,1
551WAfa9HKY,plain,Medium,150.0,undercounting,logic,15,1
551W49bKYmY,plain,Medium,150.0,undercounting,logic,11,1
551W2JeIFf4,plain,Easy,15.5,row_col_last,logic,9,1
551W8Pbi9EA,plain,Medium,40.0,region_confined,logic,13,1
551W2cK2p6J,plain,Medium,40.0,region_confined,logic,10,1
551W8ZIebCa,plain,Medium,100.0,exclusion,logic,10,1
551WA9uCBrX,plain,Easy,15.5,row_col_last,logic,7,1
551W4J78r8I,plain,Medium,180.0,exclusion,logic,14,1
551W4PW94fL,plain,Medium,150.0,undercounting,logic,11,1
551W4QuH1Mz,plain,Medium,200.0,undercounting,logic,16,1
551W0EsX3AR,plain,Medium,100.0,exclusion,logic,12,1
551W1QWCaoo,plain,Easy,15.5,row_col_last,logic,7,1
551W8DJ1CvP,plain,Medium,180.0,exclusion,logic,13,1
551WC8K0xfY,plain,Medium,100.0,exclusion,logic,11,1
551W29Y14PL,plain,Easy,15.5,row_col_last,logic,9,1
551W2A7X39N,plain,Medium,100.0,exclusion,logic,11,1
551W4HYeo94,plain,Easy,15.5,row_col_last,logic,10,1
551W4LcH45C,plain,Medium,100.0,exclusion,logic,10,1
551W0bMIkgJ,plain,Hard,500.0,finned_counts,logic,15,1
551W3M26keK,plain,Medium,61.0,region_confined,logic,12,1
551W4H1OHPs,plain,Medium,40.0,region_confined,logic,10,1
551W5Un8aWo,plain,Medium,61.0,region_confined,logic,12,1
551W8H25TCo,plain,Medium,100.0,exclusion,logic,13,1
551WAOhCfK2,plain,Hard,500.0,finned_counts,logic,18,1
551W4LJ8HkI,plain,Medium,100.0,exclusion,logic,12,1
551W4QICaXq,plain,Easy,15.5,row_col_last,logic,9,1
551W8_756be,plain,Easy,15.5,row_col_last,logic,9,1
551W9c00vcL,plain,Medium,100.0,exclusion,logic,13,1
551W2x2Ggj4,plain,Medium,145.0,region_confined,logic,12,1
551W8oiGPP4,plain,Medium,82.0,region_confined,logic,11,1
551W9ccOcH0,plain,Medium,100.0,exclusion,logic,10,1
551W1feI7Jc,plain,Medium,100.0,exclusion,logic,11,1
551W0RRNBfG,plain,Hard,540.0,finned_counts,logic,16,1
551W494L4uZ,plain,Easy,15.5,row_col_last,logic,10,1
551W0GTMQLK,plain,Medium,40.0,region_confined,logic,11,1
551W4AB9Hbb,plain,Medium,40.0,region_confined,logic,10,1
551W1PY94h4,plain,Medium,150.0,undercounting,logic,11,1
551W29d8HKI,plain,Medium,40.0,region_confined,logic,11,1
551W34ZY9bM,plain,Medium,61.0,region_confined,logic,13,1
551W9r6b1po,plain,Medium,140.0,exclusion,logic,13,1
551W9Qg9SY0,plain,Medium,40.0,region_confined,logic,11,1
551WDjK1Hn2,plain,Medium,140.0,exclusion,logic,16,1
551W4ghi8YA,plain,Medium,82.0,region_confined,logic,13,1
551WCXimaog,plain,Medium,100.0,exclusion,logic,12,1
551W05cP4HC,plain,Medium,100.0,exclusion,logic,11,1
551W0LMGYpv,plain,Medium,180.0,exclusion,logic,12,1
551W8HqQ8Gr,plain,Medium,100.0,exclusion,logic,11,1
551W0WX6tTq,plain,Medium,100.0,exclusion,logic,11,1
551W5ce2Q94,plain,Medium,40.0,region_confined,logic,9,1
551WApCW5n4,plain,Medium,100.0,exclusion,logic,11,1
551W8pH4gH4,plain,Medium,100.0,exclusion,logic,11,1
551W8XpX5DK,plain,Medium,100.0,exclusion,logic,10,1
551W9tL9A4G,plain,Medium,40.0,region_confined,logic,12,1
551W5IE0LPT,plain,Easy,15.5,row_col_last,logic,10,1
551W2P4AgM8,plain,Medium,40.0,region_confined,logic,10,1
551W29P5MIC,plain,Medium,100.0,exclusion,logic,13,1
551WEPeaA0Z,plain,Easy,15.5,row_col_last,logic,7,1
